202111;0x47, 0x26, 0x69, 0x18;0x4;value;356;unit;MeasureUnit.HCA;type;VIFUnit.UNITS_FOR_HCA;function;FunctionType.INSTANTANEOUS_VALUE;value;2021-09-30;unit;MeasureUnit.DATE;type;VIFUnit.DATE;function;FunctionType.INSTANTANEOUS_VALUE;value;1646;unit;MeasureUnit.HCA;type;VIFUnit.UNITS_FOR_HCA;function;FunctionType.INSTANTANEOUS_VALUE;value;2027-15-31;unit;MeasureUnit.DATE;type;VIFUnit.DATE;function;FunctionType.ERROR_STATE_VALUE;
20211201;0x47, 0x26, 0x69, 0x18;0x4;value;435;unit;MeasureUnit.HCA;type;VIFUnit.UNITS_FOR_HCA;function;FunctionType.INSTANTANEOUS_VALUE;value;2021-09-30;unit;MeasureUnit.DATE;type;VIFUnit.DATE;function;FunctionType.INSTANTANEOUS_VALUE;value;1646;unit;MeasureUnit.HCA;type;VIFUnit.UNITS_FOR_HCA;function;FunctionType.INSTANTANEOUS_VALUE;value;2027-15-31;unit;MeasureUnit.DATE;type;VIFUnit.DATE;function;FunctionType.ERROR_STATE_VALUE;
202112;0x47, 0x26, 0x69, 0x18;0x4;value;435;unit;MeasureUnit.HCA;type;VIFUnit.UNITS_FOR_HCA;function;FunctionType.INSTANTANEOUS_VALUE;value;2021-09-30;unit;MeasureUnit.DATE;type;VIFUnit.DATE;function;FunctionType.INSTANTANEOUS_VALUE;value;1646;unit;MeasureUnit.HCA;type;VIFUnit.UNITS_FOR_HCA;function;FunctionType.INSTANTANEOUS_VALUE;value;2027-15-31;unit;MeasureUnit.DATE;type;VIFUnit.DATE;function;FunctionType.ERROR_STATE_VALUE;
202201;0x47, 0x26, 0x69, 0x18;0x4;value;911;unit;MeasureUnit.HCA;type;VIFUnit.UNITS_FOR_HCA;function;FunctionType.INSTANTANEOUS_VALUE;value;2021-09-30;unit;MeasureUnit.DATE;type;VIFUnit.DATE;function;FunctionType.INSTANTANEOUS_VALUE;value;1646;unit;MeasureUnit.HCA;type;VIFUnit.UNITS_FOR_HCA;function;FunctionType.INSTANTANEOUS_VALUE;value;2027-15-31;unit;MeasureUnit.DATE;type;VIFUnit.DATE;function;FunctionType.ERROR_STATE_VALUE;
202202;0x47, 0x26, 0x69, 0x18;0x4;value;1066;unit;MeasureUnit.HCA;type;VIFUnit.UNITS_FOR_HCA;function;FunctionType.INSTANTANEOUS_VALUE;value;2021-09-30;unit;MeasureUnit.DATE;type;VIFUnit.DATE;function;FunctionType.INSTANTANEOUS_VALUE;value;1646;unit;MeasureUnit.HCA;type;VIFUnit.UNITS_FOR_HCA;function;FunctionType.INSTANTANEOUS_VALUE;value;2027-15-31;unit;MeasureUnit.DATE;type;VIFUnit.DATE;function;FunctionType.ERROR_STATE_VALUE;
20211119;0x47, 0x26, 0x69, 0x06;0x4;value;283;unit;MeasureUnit.HCA;type;VIFUnit.UNITS_FOR_HCA;function;FunctionType.INSTANTANEOUS_VALUE;value;2021-09-30;unit;MeasureUnit.DATE;type;VIFUnit.DATE;function;FunctionType.INSTANTANEOUS_VALUE;value;2124;unit;MeasureUnit.HCA;type;VIFUnit.UNITS_FOR_HCA;function;FunctionType.INSTANTANEOUS_VALUE;value;2027-15-31;unit;MeasureUnit.DATE;type;VIFUnit.DATE;function;FunctionType.ERROR_STATE_VALUE;
20211124;0x47, 0x26, 0x69, 0x06;0x4;value;283;unit;MeasureUnit.HCA;type;VIFUnit.UNITS_FOR_HCA;function;FunctionType.INSTANTANEOUS_VALUE;value;2021-09-30;unit;MeasureUnit.DATE;type;VIFUnit.DATE;function;FunctionType.INSTANTANEOUS_VALUE;value;2124;unit;MeasureUnit.HCA;type;VIFUnit.UNITS_FOR_HCA;function;FunctionType.INSTANTANEOUS_VALUE;value;2027-15-31;unit;MeasureUnit.DATE;type;VIFUnit.DATE;function;FunctionType.ERROR_STATE_VALUE;
202111;0x47, 0x26, 0x69, 0x06;0x4;value;283;unit;MeasureUnit.HCA;type;VIFUnit.UNITS_FOR_HCA;function;FunctionType.INSTANTANEOUS_VALUE;value;2021-09-30;unit;MeasureUnit.DATE;type;VIFUnit.DATE;function;FunctionType.INSTANTANEOUS_VALUE;value;2124;unit;MeasureUnit.HCA;type;VIFUnit.UNITS_FOR_HCA;function;FunctionType.INSTANTANEOUS_VALUE;value;2027-15-31;unit;MeasureUnit.DATE;type;VIFUnit.DATE;function;FunctionType.ERROR_STATE_VALUE;
20211201;0x47, 0x26, 0x69, 0x06;0x4;value;283;unit;MeasureUnit.HCA;type;VIFUnit.UNITS_FOR_HCA;function;FunctionType.INSTANTANEOUS_VALUE;value;2021-09-30;unit;MeasureUnit.DATE;type;VIFUnit.DATE;function;FunctionType.INSTANTANEOUS_VALUE;value;2124;unit;MeasureUnit.HCA;type;VIFUnit.UNITS_FOR_HCA;function;FunctionType.INSTANTANEOUS_VALUE;value;2027-15-31;unit;MeasureUnit.DATE;type;VIFUnit.DATE;function;FunctionType.ERROR_STATE_VALUE;
202112;0x47, 0x26, 0x69, 0x06;0x4;value;283;unit;MeasureUnit.HCA;type;VIFUnit.UNITS_FOR_HCA;function;FunctionType.INSTANTANEOUS_VALUE;value;2021-09-30;unit;MeasureUnit.DATE;type;VIFUnit.DATE;function;FunctionType.INSTANTANEOUS_VALUE;value;2124;unit;MeasureUnit.HCA;type;VIFUnit.UNITS_FOR_HCA;function;FunctionType.INSTANTANEOUS_VALUE;value;2027-15-31;unit;MeasureUnit.DATE;type;VIFUnit.DATE;function;FunctionType.ERROR_STATE_VALUE;
202201;0x47, 0x26, 0x69, 0x06;0x4;value;283;unit;MeasureUnit.HCA;type;VIFUnit.UNITS_FOR_HCA;function;FunctionType.INSTANTANEOUS_VALUE;value;2021-09-30;unit;MeasureUnit.DATE;type;VIFUnit.DATE;function;FunctionType.INSTANTANEOUS_VALUE;value;2124;unit;MeasureUnit.HCA;type;VIFUnit.UNITS_FOR_HCA;function;FunctionType.INSTANTANEOUS_VALUE;value;2027-15-31;unit;MeasureUnit.DATE;type;VIFUnit.DATE;function;FunctionType.ERROR_STATE_VALUE;
202202;0x47, 0x26, 0x69, 0x06;0x4;value;283;unit;MeasureUnit.HCA;type;VIFUnit.UNITS_FOR_HCA;function;FunctionType.INSTANTANEOUS_VALUE;value;2021-09-30;unit;MeasureUnit.DATE;type;VIFUnit.DATE;function;FunctionType.INSTANTANEOUS_VALUE;value;2124;unit;MeasureUnit.HCA;type;VIFUnit.UNITS_FOR_HCA;function;FunctionType.INSTANTANEOUS_VALUE;value;2027-15-31;unit;MeasureUnit.DATE;type;VIFUnit.DATE;function;FunctionType.ERROR_STATE_VALUE;
20211119;0x47, 0x26, 0x69, 0x00;0x4;value;34;unit;MeasureUnit.HCA;type;VIFUnit.UNITS_FOR_HCA;function;FunctionType.INSTANTANEOUS_VALUE;value;2021-09-30;unit;MeasureUnit.DATE;type;VIFUnit.DATE;function;FunctionType.INSTANTANEOUS_VALUE;value;345;unit;MeasureUnit.HCA;type;VIFUnit.UNITS_FOR_HCA;function;FunctionType.INSTANTANEOUS_VALUE;value;2027-15-31;unit;MeasureUnit.DATE;type;VIFUnit.DATE;function;FunctionType.ERROR_STATE_VALUE;
20211124;0x47, 0x26, 0x69, 0x00;0x4;value;34;unit;MeasureUnit.HCA;type;VIFUnit.UNITS_FOR_HCA;function;FunctionType.INSTANTANEOUS_VALUE;value;2021-09-30;unit;MeasureUnit.DATE;type;VIFUnit.DATE;function;FunctionType.INSTANTANEOUS_VALUE;value;345;unit;MeasureUnit.HCA;type;VIFUnit.UNITS_FOR_HCA;function;FunctionType.INSTANTANEOUS_VALUE;value;2027-15-31;unit;MeasureUnit.DATE;type;VIFUnit.DATE;function;FunctionType.ERROR_STATE_VALUE;
202111;0x47, 0x26, 0x69, 0x00;0x4;value;34;unit;MeasureUnit.HCA;type;VIFUnit.UNITS_FOR_HCA;function;FunctionType.INSTANTANEOUS_VALUE;value;2021-09-30;unit;MeasureUnit.DATE;type;VIFUnit.DATE;function;FunctionType.INSTANTANEOUS_VALUE;value;345;unit;MeasureUnit.HCA;type;VIFUnit.UNITS_FOR_HCA;function;FunctionType.INSTANTANEOUS_VALUE;value;2027-15-31;unit;MeasureUnit.DATE;type;VIFUnit.DATE;function;FunctionType.ERROR_STATE_VALUE;
20211201;0x47, 0x26, 0x69, 0x00;0x4;value;34;unit;MeasureUnit.HCA;type;VIFUnit.UNITS_FOR_HCA;function;FunctionType.INSTANTANEOUS_VALUE;value;2021-09-30;unit;MeasureUnit.DATE;type;VIFUnit.DATE;function;FunctionType.INSTANTANEOUS_VALUE;value;345;unit;MeasureUnit.HCA;type;VIFUnit.UNITS_FOR_HCA;function;FunctionType.INSTANTANEOUS_VALUE;value;2027-15-31;unit;MeasureUnit.DATE;type;VIFUnit.DATE;function;FunctionType.ERROR_STATE_VALUE;
202112;0x47, 0x26, 0x69, 0x00;0x4;value;34;unit;MeasureUnit.HCA;type;VIFUnit.UNITS_FOR_HCA;function;FunctionType.INSTANTANEOUS_VALUE;value;2021-09-30;unit;MeasureUnit.DATE;type;VIFUnit.DATE;function;FunctionType.INSTANTANEOUS_VALUE;value;345;unit;MeasureUnit.HCA;type;VIFUnit.UNITS_FOR_HCA;function;FunctionType.INSTANTANEOUS_VALUE;value;2027-15-31;unit;MeasureUnit.DATE;type;VIFUnit.DATE;function;FunctionType.ERROR_STATE_VALUE;
202201;0x47, 0x26, 0x69, 0x00;0x4;value;34;unit;MeasureUnit.HCA;type;VIFUnit.UNITS_FOR_HCA;function;FunctionType.INSTANTANEOUS_VALUE;value;2021-09-30;unit;MeasureUnit.DATE;type;VIFUnit.DATE;function;FunctionType.INSTANTANEOUS_VALUE;value;345;unit;MeasureUnit.HCA;type;VIFUnit.UNITS_FOR_HCA;function;FunctionType.INSTANTANEOUS_VALUE;value;2027-15-31;unit;MeasureUnit.DATE;type;VIFUnit.DATE;function;FunctionType.ERROR_STATE_VALUE;
202202;0x47, 0x26, 0x69, 0x00;0x4;value;34;unit;MeasureUnit.HCA;type;VIFUnit.UNITS_FOR_HCA;function;FunctionType.INSTANTANEOUS_VALUE;value;2021-09-30;unit;MeasureUnit.DATE;type;VIFUnit.DATE;function;FunctionType.INSTANTANEOUS_VALUE;value;345;unit;MeasureUnit.HCA;type;VIFUnit.UNITS_FOR_HCA;function;FunctionType.INSTANTANEOUS_VALUE;value;2027-15-31;unit;MeasureUnit.DATE;type;VIFUnit.DATE;function;FunctionType.ERROR_STATE_VALUE;
