Rip;Stato;ValoreAttuale;Unita;SetDay;ValoreAlSetDay;UltimaRicezione;DataLettura
36583195;0;13.294;MeasureUnit.M3;13.294000000000000483169060316868126392364501953125;2021-12-31;2022-01-15T07:28;202201
36583194;0;7.947;MeasureUnit.M3;7.94700000000000006394884621840901672840118408203125;2021-11-30;2021-12-15T14:26;20211215
36583194;0;11.024;MeasureUnit.M3;11.0240000000000009094947017729282379150390625;2021-12-31;2022-01-15T10:55;202201
36583193;0;52.076;MeasureUnit.M3;52.07600000000000051159076974727213382720947265625;2021-11-30;2021-12-15T04:32;20211215
36583192;0;35.522;MeasureUnit.M3;35.52199999999999846522769075818359851837158203125;2021-11-30;2021-12-15T10:36;20211215
36583192;0;45.237;MeasureUnit.M3;45.23700000000000187583282240666449069976806640625;2021-12-31;2022-01-15T11:17;202201
36583191;0;16.14;MeasureUnit.M3;16.1400000000000005684341886080801486968994140625;2021-11-30;2021-12-15T04:30;20211215
36583191;0;23.259;MeasureUnit.M3;23.2590000000000003410605131648480892181396484375;2021-12-31;2022-01-15T08:57;202201
36583190;0;31.434;MeasureUnit.M3;31.434000000000001051603248924948275089263916015625;2021-11-30;2021-12-15T06:34;20211215
36583190;0;43.04;MeasureUnit.M3;43.03999999999999914734871708787977695465087890625;2021-12-31;2022-01-15T06:43;202201
36583189;0;33.342;MeasureUnit.M3;33.3419999999999987494447850622236728668212890625;2021-11-30;2021-12-15T04:06;20211215
36583189;0;50.879;MeasureUnit.M3;50.87899999999999778310666442848742008209228515625;2021-12-31;2022-01-15T07:56;202201
35545034;0;37.384;MeasureUnit.M3;37.3840000000000003410605131648480892181396484375;2021-11-30;2021-12-15T11:20;20211215
35545034;0;50.424;MeasureUnit.M3;50.42399999999999948840923025272786617279052734375;2021-12-31;2022-01-15T07:42;202201
35545032;0;8.662;MeasureUnit.M3;8.6620000000000008100187187665142118930816650390625;2021-11-30;2021-12-15T12:18;20211215
35545032;0;11.362;MeasureUnit.M3;11.3620000000000000994759830064140260219573974609375;2021-12-31;2022-01-15T04:41;202201
