Rip;Stato;ValoreAttuale;Unita;SetDay;ValoreAlSetDay;UltimaRicezione;DataLettura
93445917;0;0;MeasureUnit.HCA;0;2020-09-30;2021-12-06T01:41;20211206
93445916;0;68;MeasureUnit.HCA;0;2020-09-30;2021-11-10T05:19;20211110
93445916;0;77;MeasureUnit.HCA;0;2020-09-30;2021-11-12T05:09;20211112
93445916;0;76;MeasureUnit.HCA;0;2020-09-30;2021-11-11T21:36;20211111
93445916;0;67;MeasureUnit.HCA;0;2020-09-30;2021-11-09T20:51;20211109
93445916;0;93;MeasureUnit.HCA;0;2020-09-30;2021-11-15T04:41;20211115
93445916;0;92;MeasureUnit.HCA;0;2020-09-30;2021-11-14T20:42;20211114
93445916;0;86;MeasureUnit.HCA;0;2020-09-30;2021-11-13T21:01;20211113
93445916;0;98;MeasureUnit.HCA;0;2020-09-30;2021-11-16T05:05;20211116
93445916;0;107;MeasureUnit.HCA;0;2020-09-30;2021-11-17T21:20;20211117
93445916;0;108;MeasureUnit.HCA;0;2020-09-30;2021-11-18T04:49;20211118
93445916;0;113;MeasureUnit.HCA;0;2020-09-30;2021-11-19T05:51;20211119
93445916;0;117;MeasureUnit.HCA;0;2020-09-30;2021-11-20T05:47;20211120
93445916;0;124;MeasureUnit.HCA;0;2020-09-30;2021-11-20T21:31;20211120T22
93445916;0;125;MeasureUnit.HCA;0;2020-09-30;2021-11-21T05:25;20211121
93445916;0;133;MeasureUnit.HCA;0;2020-09-30;2021-11-22T05:12;20211122
93445916;0;138;MeasureUnit.HCA;0;2020-09-30;2021-11-23T05:20;20211123
93445916;0;149;MeasureUnit.HCA;0;2020-09-30;2021-11-25T05:11;20211125
93445916;0;157;MeasureUnit.HCA;0;2020-09-30;2021-11-26T05:23;20211126
93445916;0;164;MeasureUnit.HCA;0;2020-09-30;2021-11-27T05:34;20211127
93445916;0;172;MeasureUnit.HCA;0;2020-09-30;2021-11-28T07:59;20211128
93445916;0;180;MeasureUnit.HCA;0;2020-09-30;2021-11-29T09:10;20211129
93445916;0;186;MeasureUnit.HCA;0;2020-09-30;2021-11-30T01:17;20211130
93445916;0;193;MeasureUnit.HCA;0;2020-09-30;2021-12-01T09:54;20211201
93445916;0;201;MeasureUnit.HCA;0;2020-09-30;2021-12-02T09:17;202112
93445916;0;208;MeasureUnit.HCA;0;2020-09-30;2021-12-03T09:14;20211203
93445916;0;233;MeasureUnit.HCA;0;2020-09-30;2021-12-06T09:37;20211206
93445915;0;56;MeasureUnit.HCA;0;2020-09-30;2021-11-10T06:08;20211110
93445915;0;66;MeasureUnit.HCA;0;2020-09-30;2021-11-12T05:39;20211112
93445915;0;66;MeasureUnit.HCA;0;2020-09-30;2021-11-11T21:12;20211111
93445915;0;56;MeasureUnit.HCA;0;2020-09-30;2021-11-09T22:36;20211109
93445915;0;88;MeasureUnit.HCA;0;2020-09-30;2021-11-15T06:45;20211115
93445915;0;88;MeasureUnit.HCA;0;2020-09-30;2021-11-14T22:40;20211114
93445915;0;77;MeasureUnit.HCA;0;2020-09-30;2021-11-13T21:51;20211113
93445915;0;94;MeasureUnit.HCA;0;2020-09-30;2021-11-16T06:16;20211116
93445915;0;104;MeasureUnit.HCA;0;2020-09-30;2021-11-17T22:06;20211117
93445915;0;105;MeasureUnit.HCA;0;2020-09-30;2021-11-18T06:37;20211118
93445915;0;111;MeasureUnit.HCA;0;2020-09-30;2021-11-19T05:34;20211119
93445915;0;117;MeasureUnit.HCA;0;2020-09-30;2021-11-20T05:00;20211120
93445915;0;124;MeasureUnit.HCA;0;2020-09-30;2021-11-20T21:20;20211120T22
93445915;0;125;MeasureUnit.HCA;0;2020-09-30;2021-11-21T05:22;20211121
93445915;0;134;MeasureUnit.HCA;0;2020-09-30;2021-11-22T06:13;20211122
93445915;0;142;MeasureUnit.HCA;0;2020-09-30;2021-11-23T06:05;20211123
93445915;0;164;MeasureUnit.HCA;0;2020-09-30;2021-11-25T20:49;20211125
93445915;0;166;MeasureUnit.HCA;0;2020-09-30;2021-11-26T05:28;20211126
93445915;0;172;MeasureUnit.HCA;0;2020-09-30;2021-11-27T05:17;20211127
93445915;0;181;MeasureUnit.HCA;0;2020-09-30;2021-11-28T06:19;20211128
93445915;0;191;MeasureUnit.HCA;0;2020-09-30;2021-11-29T05:35;20211129
93445915;0;200;MeasureUnit.HCA;0;2020-09-30;2021-11-30T05:37;20211130
93445915;0;212;MeasureUnit.HCA;0;2020-09-30;2021-12-01T05:45;20211201
93445915;0;219;MeasureUnit.HCA;0;2020-09-30;2021-12-02T05:49;202112
93445915;0;230;MeasureUnit.HCA;0;2020-09-30;2021-12-03T05:22;20211203
93445915;0;261;MeasureUnit.HCA;0;2020-09-30;2021-12-06T05:36;20211206
93445909;0;0;MeasureUnit.HCA;0;2020-09-30;2021-11-10T04:57;20211110
93445909;0;0;MeasureUnit.HCA;0;2020-09-30;2021-11-12T05:30;20211112
93445909;0;0;MeasureUnit.HCA;0;2020-09-30;2021-11-11T21:55;20211111
93445909;0;0;MeasureUnit.HCA;0;2020-09-30;2021-11-09T20:17;20211109
93445909;0;0;MeasureUnit.HCA;0;2020-09-30;2021-11-15T04:17;20211115
93445909;0;0;MeasureUnit.HCA;0;2020-09-30;2021-11-13T05:48;20211113
93445909;0;0;MeasureUnit.HCA;0;2020-09-30;2021-11-16T08:07;20211116
93445909;0;0;MeasureUnit.HCA;0;2020-09-30;2021-11-17T09:04;20211117
93445909;0;0;MeasureUnit.HCA;0;2020-09-30;2021-11-18T00:40;20211118
93445909;0;0;MeasureUnit.HCA;0;2020-09-30;2021-11-19T09:16;20211119
93445909;0;0;MeasureUnit.HCA;0;2020-09-30;2021-11-20T01:41;20211120
93445909;0;0;MeasureUnit.HCA;0;2020-09-30;2021-11-20T17:48;20211120T22
93445909;0;0;MeasureUnit.HCA;0;2020-09-30;2021-11-21T01:18;20211121
93445909;0;0;MeasureUnit.HCA;0;2020-09-30;2021-11-22T08:07;20211122
93445909;0;0;MeasureUnit.HCA;0;2020-09-30;2021-11-23T08:35;20211123
93445909;0;0;MeasureUnit.HCA;0;2020-09-30;2021-11-25T09:17;20211125
93445909;0;0;MeasureUnit.HCA;0;2020-09-30;2021-11-26T09:23;20211126
93445909;0;0;MeasureUnit.HCA;0;2020-09-30;2021-11-27T09:11;20211127
93445909;0;0;MeasureUnit.HCA;0;2020-09-30;2021-11-28T08:31;20211128
93445909;0;0;MeasureUnit.HCA;0;2020-09-30;2021-11-29T08:42;20211129
93445909;0;0;MeasureUnit.HCA;0;2020-09-30;2021-11-30T09:37;20211130
93445909;0;0;MeasureUnit.HCA;0;2020-09-30;2021-12-01T00:47;20211201
93445909;0;0;MeasureUnit.HCA;0;2020-09-30;2021-12-01T00:47;202112
93445909;0;1;MeasureUnit.HCA;0;2020-09-30;2021-12-03T05:17;20211203
