sep=;
Nome del  programma;Data ed ora di lettura;Indirizzo radio;Info;Errore (codice) ;Cod. identificazione ;Matricola fabbricante;Versione contatore;Tipo del dispositivo;Stato ;Totalizzatore valore attuale;Unità totalizzate al giorno di memoriz.;Unità memorizzate prima dell'azzeramento;Flags e RSSI;Manomissione in corso;Errore di temperatura;Errore elettronico;RSSI;Valore mensile - 1;Valore mensile - 2;Valore mensile - 3;Valore mensile - 4;Valore mensile - 5;Valore mensile - 6;Valore mensile - 7;Valore mensile - 8;Valore mensile - 9;Valore mensile - 10;Valore mensile - 11;Valore mensile - 12;Valore mensile - 13;Valore mensile - 14;Valore mensile - 15;Valore mensile - 16;Valore mensile - 17;Valore mensile - 18;Valore mensile - 0.5 (-19);Valore mensile - 1.5 (-20);Valore mensile - 2.5 (-21);Valore mensile - 3.5 (-22);Valore mensile - 4.5 (-23);Valore mensile - 5.5 (-24);Valore mensile - 6.5 (-25);Valore mensile - 7.5 (-26);Valore mensile - 8.5 (-27);Valore mensile - 9.5 (-28);Valore mensile - 10.5 (-29);Valore mensile - 11.5 (-30);Valore mensile - 12.5 (-31);Valore mensile - 13.5 (-32);Valore mensile - 14.5 (-33);Valore mensile - 15.5 (-34);Valore mensile - 16.5 (-35);Valore mensile - 17.5 (-36);Data ultima manomissione;Data di messa in servizio;Durata manomissione [min];Temp. radiatore;Temp. ambiente;Temp. max. radiatore periodo attuale;Temp. max radiatore periodo precedente;Data ed ora del dispositivo;N° di serie;Giorno di memorizzazione;Fattore Kc x Kq;Periodo dei valori memorizzati in 19-36;Versione software ;
Son556-Supercom;06/05/2022 10.01.51;13110527;;Lettura OK;13110527;SON;16;Heat cost allocator;0;0;1609;1609;48;No;No;No;-80 dBm;0;1565;1344;1120;709;293;83;29;29;29;29;29;4;2831;2517;2145;;;;;;;;;;;;;;;;;;;;;01/01/2000;;1;18,31;15,27;20,23;42,37;06/05/2022 09.01;13110527;30/04;6,2497597;;1.08;
Son556-Supercom;06/05/2022 10.01.55;13110528;;Lettura OK;13110528;SON;16;Heat cost allocator;0;0;380;380;48;No;No;No;-80 dBm;0;375;329;281;168;55;15;10;10;10;10;10;1;1036;931;839;;;;;;;;;;;;;;;;;;;;;01/01/2000;;2;18,55;15,8;20,78;46,28;06/05/2022 09.01;13110528;30/04;1,8995199;;1.08;
Son556-Supercom;06/05/2022 10.01.58;13110529;;Lettura OK;13110529;SON;16;Heat cost allocator;0;0;2217;2217;48;No;No;No;-80 dBm;0;2103;1777;1419;923;410;65;18;18;18;18;18;5;1072;806;490;;;;;;;;;;;;;;;;;;;;;01/01/2000;;3;18,06;15,93;20,23;60,56;06/05/2022 09.01;13110529;30/04;3,3178;;1.08;
Son556-Supercom;06/05/2022 10.02.02;13110530;;Lettura OK;13110530;SON;16;Heat cost allocator;0;0;366;366;48;No;No;No;-80 dBm;0;360;312;267;158;54;8;2;2;2;2;2;0;614;534;449;;;;;;;;;;;;;;;;;;;;;01/01/2000;;0;18,14;16,36;20;49,47;06/05/2022 09.01;13110530;30/04;1,5899999;;1.08;
Son556-Supercom;06/05/2022 10.02.06;13110531;;Lettura OK;13110531;SON;16;Heat cost allocator;0;0;192;192;32;No;No;No;-90 dBm;0;191;169;155;83;14;0;0;0;0;0;0;0;363;331;295;;;;;;;;;;;;;;;;;;;;;01/01/2000;;0;18,56;15,57;19,81;42,81;06/05/2022 09.02;13110531;30/04;2,06;;1.08;
Son556-Supercom;06/05/2022 10.02.09;13110532;;Lettura OK;13110532;SON;16;Heat cost allocator;0;0;2297;2297;48;No;No;No;-80 dBm;0;2087;1763;1424;971;509;155;55;55;55;55;55;6;1307;1131;910;;;;;;;;;;;;;;;;;;;;;15/10/2018;;2;19,33;16,18;20,05;66,66;06/05/2022 09.02;13110532;30/04;2,7793198;;1.08;
Son556-Supercom;06/05/2022 10.02.13;13121178;;Lettura OK;13121178;SON;16;Heat cost allocator;0;0;110;110;16;No;No;No;-100 dBm;0;109;99;90;56;0;0;0;0;0;0;0;0;57;56;54;;;;;;;;;;;;;;;;;;;;;01/01/2000;;0;20,82;18,43;21,54;53,75;06/05/2022 09.02;13121178;30/04;2,7793198;;1.08;
Son556-Supercom;06/05/2022 10.02.17;13121179;;Lettura OK;13121179;SON;16;Heat cost allocator;0;0;1593;1593;32;No;No;No;-90 dBm;0;1464;1246;1023;720;409;173;44;44;44;44;44;6;1511;1282;1035;;;;;;;;;;;;;;;;;;;;;01/01/2000;;0;20,39;17,16;21,51;64,8;06/05/2022 09.02;13121179;30/04;2,38076;;1.08;
Son556-Supercom;06/05/2022 10.02.20;13121180;;Lettura OK;13121180;SON;16;Heat cost allocator;0;0;1692;1692;16;No;No;No;-100 dBm;0;1617;1389;1103;727;344;94;0;0;0;0;0;0;1608;1381;1109;;;;;;;;;;;;;;;;;;;;;01/01/2000;;0;19,7;16,78;21,74;64,97;06/05/2022 09.02;13121180;30/04;2,8323197;;1.08;
Son556-Supercom;06/05/2022 10.02.24;13121181;;Lettura OK;13121181;SON;16;Heat cost allocator;0;0;1494;1494;16;No;No;No;-100 dBm;0;1358;1138;917;640;336;121;42;41;41;41;41;4;1489;1261;1014;;;;;;;;;;;;;;;;;;;;;01/01/2000;;0;18,22;14,52;20,51;65,52;06/05/2022 09.02;13121181;30/04;2,52068;;1.08;
Son556-Supercom;06/05/2022 10.02.27;13121182;;Lettura OK;13121182;SON;16;Heat cost allocator;0;0;3742;3742;32;No;No;No;-90 dBm;0;3507;3029;2443;1676;906;353;22;21;21;21;21;5;3385;2871;2338;;;;;;;;;;;;;;;;;;;;;01/01/2000;;0;18;14,15;21,18;62,77;06/05/2022 09.02;13121182;30/04;5,5671196;;1.08;
Son556-Supercom;06/05/2022 10.02.31;13121183;;Lettura OK;13121183;SON;16;Heat cost allocator;0;0;1531;1531;32;No;No;No;-90 dBm;0;1473;1270;1025;675;365;124;16;16;16;16;16;2;1580;1360;1083;;;;;;;;;;;;;;;;;;;;;01/01/2000;;0;19,23;16,45;21,24;62,81;06/05/2022 09.02;13121183;30/04;3,1778798;;1.08;
Son556-Supercom;06/05/2022 10.02.36;13121184;;Lettura OK;13121184;SON;16;Heat cost allocator;0;0;2831;2831;16;No;No;No;-100 dBm;0;2727;2243;1742;1046;354;94;0;0;0;0;0;0;1773;1600;1281;;;;;;;;;;;;;;;;;;;;;01/01/2000;;0;18,99;16,33;21,29;65,83;06/05/2022 09.02;13121184;30/04;4,714;;1.08;
Son556-Supercom;06/05/2022 10.02.44;13121185;;Lettura OK;13121185;SON;16;Heat cost allocator;0;0;7153;7153;16;No;No;No;-100 dBm;0;6584;5592;4543;3124;1701;718;159;159;159;159;159;22;6556;5547;4484;;;;;;;;;;;;;;;;;;;;;01/01/2000;;0;19,26;16,14;21,68;64,09;06/05/2022 09.02;13121185;30/04;8,734399;;1.08;
Son556-Supercom;06/05/2022 10.02.48;13121186;;Lettura OK;13121186;SON;16;Heat cost allocator;0;0;697;697;32;No;No;No;-90 dBm;0;656;533;411;233;96;35;1;1;1;1;1;0;350;308;231;;;;;;;;;;;;;;;;;;;;;01/01/2000;;0;20,03;17,22;21,16;54,84;06/05/2022 09.02;13121186;30/04;2,38076;;1.08;
