sep=;
Nome del  programma;Data ed ora di lettura;Indirizzo radio;Info;Errore (codice) ;Cod. identificazione ;Matricola fabbricante;Versione contatore;Tipo del dispositivo;Stato ;Totalizzatore valore attuale;Unità totalizzate al giorno di memoriz.;Unità memorizzate prima dell'azzeramento;Flags e RSSI;Manomissione in corso;Errore di temperatura;Errore elettronico;RSSI;Valore mensile - 1;Valore mensile - 2;Valore mensile - 3;Valore mensile - 4;Valore mensile - 5;Valore mensile - 6;Valore mensile - 7;Valore mensile - 8;Valore mensile - 9;Valore mensile - 10;Valore mensile - 11;Valore mensile - 12;Valore mensile - 13;Valore mensile - 14;Valore mensile - 15;Valore mensile - 16;Valore mensile - 17;Valore mensile - 18;Valore mensile - 0.5 (-19);Valore mensile - 1.5 (-20);Valore mensile - 2.5 (-21);Valore mensile - 3.5 (-22);Valore mensile - 4.5 (-23);Valore mensile - 5.5 (-24);Valore mensile - 6.5 (-25);Valore mensile - 7.5 (-26);Valore mensile - 8.5 (-27);Valore mensile - 9.5 (-28);Valore mensile - 10.5 (-29);Valore mensile - 11.5 (-30);Valore mensile - 12.5 (-31);Valore mensile - 13.5 (-32);Valore mensile - 14.5 (-33);Valore mensile - 15.5 (-34);Valore mensile - 16.5 (-35);Valore mensile - 17.5 (-36);Data ultima manomissione;Data di messa in servizio;Durata manomissione [min];Temp. radiatore;Temp. ambiente;Temp. max. radiatore periodo attuale;Temp. max radiatore periodo precedente;Data ed ora del dispositivo;N° di serie;Giorno di memorizzazione;Fattore Kc x Kq;Periodo dei valori memorizzati in 19-36;Versione software ;
Son556-Supercom;06/05/2022 09.59.05;13110537;;Lettura OK;13110537;SON;16;Heat cost allocator;0;0;3281;3281;16;No;No;No;-100 dBm;0;3008;2511;1989;1294;613;157;2;2;2;2;2;2;1306;1081;840;;;;;;;;;;;;;;;;;;;;;01/01/2000;;11;17,81;15,79;19,04;69,06;06/05/2022 08.59;13110537;30/04;4,8887196;;1.08;
Son556-Supercom;06/05/2022 09.59.08;13110538;;Lettura OK;13110538;SON;16;Heat cost allocator;0;0;3761;3761;32;No;No;No;-90 dBm;0;3567;3122;2571;1640;857;291;66;66;66;66;66;16;3158;2500;1908;;;;;;;;;;;;;;;;;;;;;01/01/2000;;7;18,47;15,85;19,71;68,15;06/05/2022 08.59;13110538;30/04;5,73672;;1.08;
Son556-Supercom;06/05/2022 09.59.12;13110539;;Lettura OK;13110539;SON;16;Heat cost allocator;0;0;979;979;32;No;No;No;-90 dBm;0;971;926;822;656;460;204;5;5;5;5;5;0;2435;1960;1445;;;;;;;;;;;;;;;;;;;;;01/01/2000;;4;17,87;15,27;19,63;69,02;06/05/2022 08.59;13110539;30/04;5,8003197;;1.08;
Son556-Supercom;06/05/2022 09.59.15;13110540;;Lettura OK;13110540;SON;16;Heat cost allocator;0;0;0;0;16;No;No;No;-100 dBm;0;0;0;0;0;0;0;0;0;0;0;0;0;55;54;40;;;;;;;;;;;;;;;;;;;;;01/01/2000;;2;19;16,12;19,97;27,56;06/05/2022 08.59;13110540;30/04;1,77656;;1.08;
Son556-Supercom;06/05/2022 09.59.19;13110541;;Lettura OK;13110541;SON;16;Heat cost allocator;0;0;597;597;16;No;No;No;-100 dBm;0;597;588;499;216;85;18;18;18;18;18;18;2;26;26;0;;;;;;;;;;;;;;;;;;;;;01/01/2000;;0;19,02;15,72;20,26;69,71;06/05/2022 08.59;13110541;30/04;2,4485998;;1.08;
Son556-Supercom;06/05/2022 09.59.23;13110511;;Lettura OK;13110511;SON;16;Heat cost allocator;0;0;4063;4063;16;No;No;No;-100 dBm;0;3711;3151;2549;1866;1140;538;133;133;133;133;133;19;4944;4149;3355;;;;;;;;;;;;;;;;;;;;;01/01/2000;;0;17,47;14,48;20,44;65,34;06/05/2022 08.59;13110511;30/04;5,6137595;;1.08;
Son556-Supercom;06/05/2022 09.59.26;13110512;;Lettura OK;13110512;SON;16;Heat cost allocator;0;0;2972;2972;16;No;No;No;-100 dBm;0;2734;2328;1898;1314;719;289;61;61;61;61;61;8;2729;2326;1910;;;;;;;;;;;;;;;;;;;;;01/01/2000;;0;18,22;15,55;20,45;67,65;06/05/2022 08.59;13110512;30/04;3,1778798;;1.08;
Son556-Supercom;06/05/2022 09.59.30;13110513;;Lettura OK;13110513;SON;16;Heat cost allocator;0;0;1529;1529;32;No;No;No;-90 dBm;0;1355;1118;887;621;378;198;66;66;66;66;66;8;1747;1424;1122;;;;;;;;;;;;;;;;;;;;;01/01/2000;;0;17,2;13,89;20,39;56,44;06/05/2022 08.59;13110513;30/04;4,0619197;;1.08;
Son556-Supercom;06/05/2022 09.59.33;13110514;;Lettura OK;13110514;SON;16;Heat cost allocator;0;0;2125;2125;16;No;No;No;-100 dBm;0;2008;1672;1342;920;515;241;44;44;44;44;44;7;3009;2699;2242;;;;;;;;;;;;;;;;;;;;;01/01/2000;;0;18,58;15,86;20,59;58,05;06/05/2022 08.59;13110514;30/04;3,5743198;;1.08;
Son556-Supercom;06/05/2022 09.59.37;13121206;;Lettura OK;13121206;SON;16;Heat cost allocator;0;0;831;831;16;No;No;No;-100 dBm;0;753;605;469;312;95;45;0;0;0;0;0;0;1157;1076;933;;;;;;;;;;;;;;;;;;;;;01/01/2000;;0;18,53;15,52;21,14;64,1;06/05/2022 08.59;13121206;30/04;1,9821999;;1.08;
Son556-Supercom;06/05/2022 09.59.40;13121207;;Lettura OK;13121207;SON;16;Heat cost allocator;0;0;1601;1601;16;No;No;No;-100 dBm;0;1461;1224;986;674;352;145;0;0;0;0;0;0;845;749;591;;;;;;;;;;;;;;;;;;;;;01/01/2000;;0;18,68;15,5;20,71;63,72;06/05/2022 08.59;13121207;30/04;1,9821999;;1.08;
Son556-Supercom;06/05/2022 09.59.44;13121208;;Lettura OK;13121208;SON;16;Heat cost allocator;0;0;1274;1274;16;No;No;No;-100 dBm;0;1184;1016;843;601;368;176;35;35;35;35;35;6;1481;1288;999;;;;;;;;;;;;;;;;;;;;;01/01/2000;;0;18,63;15,34;20,69;65,28;06/05/2022 08.59;13121208;30/04;1,8995199;;1.08;
Son556-Supercom;06/05/2022 09.59.48;13121209;;Lettura OK;13121209;SON;16;Heat cost allocator;0;0;1288;1288;16;No;No;No;-100 dBm;0;1219;1022;819;539;257;83;27;27;27;27;27;4;1062;897;749;;;;;;;;;;;;;;;;;;;;;01/01/2000;;0;18,13;14,83;20,7;66,69;06/05/2022 08.59;13121209;30/04;1,5899999;;1.08;
Son556-Supercom;06/05/2022 09.59.51;13121210;;Lettura OK;13121210;SON;16;Heat cost allocator;0;0;2380;2380;16;No;No;No;-100 dBm;0;2177;1822;1475;997;561;228;0;0;0;0;0;0;2625;2504;1962;;;;;;;;;;;;;;;;;;;;;01/01/2000;;0;18,04;15,07;21,14;67,02;06/05/2022 08.59;13121210;30/04;3,9728796;;1.08;
